[load] 6943 posts
  [gpt] [2700/6943]  rate=0.67/s  eta=6344s
  [gpt] [2725/6943]  rate=0.67/s  eta=6294s
  [gpt] [2750/6943]  rate=0.67/s  eta=6242s
  [gpt] [2775/6943]  rate=0.67/s  eta=6200s
  [gpt] [2800/6943]  rate=0.67/s  eta=6161s
  [gpt] [2825/6943]  rate=0.67/s  eta=6118s
  [gpt] [2850/6943]  rate=0.67/s  eta=6073s
  [gpt] [2875/6943]  rate=0.68/s  eta=6023s
  [gpt] [2900/6943]  rate=0.68/s  eta=5976s
  [gpt] [2925/6943]  rate=0.68/s  eta=5928s
  [gpt] [2950/6943]  rate=0.68/s  eta=5880s
  [gpt] [2975/6943]  rate=0.68/s  eta=5835s
  [gpt] [3000/6943]  rate=0.68/s  eta=5788s
  [gpt] [3025/6943]  rate=0.68/s  eta=5745s
  [gpt] [3050/6943]  rate=0.68/s  eta=5706s
  [gpt] [3075/6943]  rate=0.68/s  eta=5665s
  [gpt] [3100/6943]  rate=0.68/s  eta=5619s
  [gpt] [3125/6943]  rate=0.68/s  eta=5574s
  [gpt] [3150/6943]  rate=0.69/s  eta=5533s
  [gpt] [3175/6943]  rate=0.69/s  eta=5487s
  [gpt] [3200/6943]  rate=0.69/s  eta=5438s
  [gpt] [3225/6943]  rate=0.69/s  eta=5397s
  [gpt] [3250/6943]  rate=0.69/s  eta=5352s
  [gpt] [3275/6943]  rate=0.69/s  eta=5306s
  [gpt] [3300/6943]  rate=0.69/s  eta=5267s
  [gpt] [3325/6943]  rate=0.69/s  eta=5225s
  [gpt] [3350/6943]  rate=0.69/s  eta=5186s
  [gpt] [3375/6943]  rate=0.69/s  eta=5147s
  [gpt] [3400/6943]  rate=0.69/s  eta=5102s
  [gpt] [3425/6943]  rate=0.70/s  eta=5059s
  [gpt] [3450/6943]  rate=0.70/s  eta=5016s
  [gpt] [3475/6943]  rate=0.70/s  eta=4978s
  [gpt] [3500/6943]  rate=0.70/s  eta=4942s
  [gpt] [3525/6943]  rate=0.70/s  eta=4905s
  [gpt] [3550/6943]  rate=0.70/s  eta=4861s
  [gpt] [3575/6943]  rate=0.70/s  eta=4819s
  [gpt] [3600/6943]  rate=0.70/s  eta=4776s
  [gpt] [3625/6943]  rate=0.70/s  eta=4732s
  [gpt] [3650/6943]  rate=0.70/s  eta=4692s
  [gpt] [3675/6943]  rate=0.70/s  eta=4652s
  [gpt] [3700/6943]  rate=0.70/s  eta=4609s
  [gpt] [3725/6943]  rate=0.70/s  eta=4567s
  [gpt] [3750/6943]  rate=0.71/s  eta=4527s
  [gpt] [3775/6943]  rate=0.71/s  eta=4484s
